product_id,product_name,category,base_price,user_id,region,priority,status,amount
P101,Laptop,Electronics,65000.00,U001,North,High,Completed,65000.00
P102,Smartphone,Electronics,32000.00,U002,South,Medium,Completed,32000.00
P103,Office Chair,Furniture,8500.00,U003,North,Low,Pending,8500.00
P104,Headphones,Electronics,4500.00,U004,West,High,Completed,4500.00
P105,Study Table,Furniture,12000.00,U005,East,Medium,Completed,12000.00
P106,Smartwatch,Electronics,7000.00,,North,High,Pending,7000.00
P107,Keyboard,Electronics,2500.00,U007,South,Low,Completed,2500.00
P108,Bookshelf,Furniture,6000.00,U008,West,High,Cancelled,6000.00
P109,Monitor,Electronics,18000.00,U009,North,Medium,Completed,18000.00
P110,Mouse,Electronics,1200.00,U010,East,High,Completed,1200.00
P111,Desk Lamp,Home,1800.00,U011,North,Low,Completed,1800.00
P112,Tablet,Electronics,28000.00,U012,West,Medium,Pending,28000.00
